fips,stateabbr,statedesc,locationname,measure,data_value_type,asthma_prevalence_pct,state,county,pm25_mean,monitor_count,total_observations
19163,IA,Iowa,Scott,Current asthma among adults,Age-adjusted prevalence,10.6,Iowa,Scott,10.962500239329662,2.0,65579.0
18057,IN,Indiana,Hamilton,Current asthma among adults,Age-adjusted prevalence,10.2,Indiana,Hamilton,8.618226139933993,2.0,12120.0
18095,IN,Indiana,Madison,Current asthma among adults,Age-adjusted prevalence,11.5,Indiana,Madison,10.1240940674693,1.0,33141.0
18157,IN,Indiana,Tippecanoe,Current asthma among adults,Age-adjusted prevalence,10.8,Indiana,Tippecanoe,9.214397173874117,1.0,11169.0
19193,IA,Iowa,Woodbury,Current asthma among adults,Age-adjusted prevalence,9.8,Iowa,Woodbury,9.684746,1.0,944.0
18147,IN,Indiana,Spencer,Current asthma among adults,Age-adjusted prevalence,11.0,Indiana,Spencer,8.704167,1.0,960.0
18043,IN,Indiana,Floyd,Current asthma among adults,Age-adjusted prevalence,11.4,Indiana,Floyd,8.43078746478873,1.0,11573.0
19111,IA,Iowa,Lee,Current asthma among adults,Age-adjusted prevalence,10.3,Iowa,Lee,9.348333,1.0,480.0
19045,IA,Iowa,Clinton,Current asthma among adults,Age-adjusted prevalence,10.4,Iowa,Clinton,11.684852208960647,2.0,66022.0
17201,IL,Illinois,Winnebago,Current asthma among adults,Age-adjusted prevalence,10.7,Illinois,Winnebago,11.161011026594602,1.0,32563.0
18039,IN,Indiana,Elkhart,Current asthma among adults,Age-adjusted prevalence,11.3,Indiana,Elkhart,9.534095773833124,1.0,11098.0
18105,IN,Indiana,Monroe,Current asthma among adults,Age-adjusted prevalence,11.0,Indiana,Monroe,8.847916363900808,1.0,34721.0
18091,IN,Indiana,LaPorte,Current asthma among adults,Age-adjusted prevalence,11.0,Indiana,LaPorte,8.684034,1.0,952.0
18035,IN,Indiana,Delaware,Current asthma among adults,Age-adjusted prevalence,12.0,Indiana,Delaware,8.25625,1.0,896.0
18097,IN,Indiana,Marion,Current asthma among adults,Age-adjusted prevalence,11.7,Indiana,Marion,13.402382547692278,5.0,105342.0
18183,IN,Indiana,Whitley,Current asthma among adults,Age-adjusted prevalence,11.1,Indiana,Whitley,10.596355053358991,1.0,34296.0
19113,IA,Iowa,Linn,Current asthma among adults,Age-adjusted prevalence,10.4,Iowa,Linn,11.739183481208642,1.0,66786.0
18067,IN,Indiana,Howard,Current asthma among adults,Age-adjusted prevalence,11.8,Indiana,Howard,8.565699996876745,1.0,21452.0
19177,IA,Iowa,Van Buren,Current asthma among adults,Age-adjusted prevalence,10.6,Iowa,Van Buren,7.965,1.0,960.0
18163,IN,Indiana,Vanderburgh,Current asthma among adults,Age-adjusted prevalence,11.6,Indiana,Vanderburgh,9.975122566307206,2.0,48313.0
18065,IN,Indiana,Henry,Current asthma among adults,Age-adjusted prevalence,11.4,Indiana,Henry,10.099500775602646,1.0,32233.0
19013,IA,Iowa,Black Hawk,Current asthma among adults,Age-adjusted prevalence,10.5,Iowa,Black Hawk,9.44958,1.0,952.0
19139,IA,Iowa,Muscatine,Current asthma among adults,Age-adjusted prevalence,9.8,Iowa,Muscatine,9.541906288956127,3.0,5288.0
18003,IN,Indiana,Allen,Current asthma among adults,Age-adjusted prevalence,11.3,Indiana,Allen,8.41374251552795,1.0,2576.0
18019,IN,Indiana,Clark,Current asthma among adults,Age-adjusted prevalence,11.4,Indiana,Clark,10.826379273748115,1.0,47109.0
18055,IN,Indiana,Greene,Current asthma among adults,Age-adjusted prevalence,11.6,Indiana,Greene,8.950063179371618,1.0,30841.0
18167,IN,Indiana,Vigo,Current asthma among adults,Age-adjusted prevalence,11.6,Indiana,Vigo,10.137687408856353,1.0,33332.0
22087,LA,Louisiana,St. Bernard,Current asthma among adults,Age-adjusted prevalence,10.6,Louisiana,St. Bernard,9.646243972008397,1.0,32867.0
24043,MD,Maryland,Washington,Current asthma among adults,Age-adjusted prevalence,10.8,Maryland,Washington,6.943195207507948,1.0,32712.0
23011,ME,Maine,Kennebec,Current asthma among adults,Age-adjusted prevalence,12.6,Maine,Kennebec,7.841124828439459,1.0,6062.0
22033,LA,Louisiana,East Baton Rouge,Current asthma among adults,Age-adjusted prevalence,10.3,Louisiana,East Baton Rouge,9.984352764952,1.0,34895.0
22017,LA,Louisiana,Caddo,Current asthma among adults,Age-adjusted prevalence,10.9,Louisiana,Caddo,9.389130760869564,1.0,736.0
22071,LA,Louisiana,Orleans,Current asthma among adults,Age-adjusted prevalence,10.6,Louisiana,Orleans,7.369798337053572,1.0,10304.0
24510,MD,Maryland,Baltimore,Current asthma among adults,Age-adjusted prevalence,12.7,Maryland,Baltimore (City),8.002729769992845,1.0,36338.0
20091,KS,Kansas,Johnson,Current asthma among adults,Age-adjusted prevalence,9.4,Kansas,Johnson,9.242905287370627,1.0,32947.0
20133,KS,Kansas,Neosho,Current asthma among adults,Age-adjusted prevalence,10.4,Kansas,Neosho,10.760837024720354,1.0,32362.0
26005,MI,Michigan,Allegan,Current asthma among adults,Age-adjusted prevalence,11.1,Michigan,Allegan,7.365307641838152,1.0,7921.0
25009,MA,Massachusetts,Essex,Current asthma among adults,Age-adjusted prevalence,11.5,Massachusetts,Essex,7.101607087116564,2.0,66830.0
