fips,state,county,pm25_mean,monitor_count,total_observations
37159,North Carolina,Rowan,9.005215484892087,1.0,11120.0
37173,North Carolina,Swain,7.23245137605178,2.0,12360.0
37183,North Carolina,Wake,9.551200799424652,2.0,42757.0
38007,North Dakota,Billings,6.741539543698307,1.0,33491.0
38013,North Dakota,Burke,9.843337841811232,1.0,44213.0
38015,North Dakota,Burleigh,10.498576792609986,1.0,77077.0
38017,North Dakota,Cass,11.441684563087003,1.0,43654.0
38025,North Dakota,Dunn,8.3744271865188,1.0,42741.0
38053,North Dakota,McKenzie,7.40374084953816,1.0,43413.0
38057,North Dakota,Mercer,8.27743763735393,1.0,85833.0
38065,North Dakota,Oliver,8.83720214344326,1.0,44847.0
38101,North Dakota,Ward,8.606117184628033,1.0,45004.0
39003,Ohio,Allen,8.352437061586551,1.0,11837.0
39009,Ohio,Athens,6.658336773804392,1.0,18568.0
39013,Ohio,Belmont,7.620688417304296,1.0,6796.0
39017,Ohio,Butler,11.932590029760162,4.0,116330.0
39023,Ohio,Clark,10.611683190906168,1.0,34221.0
39035,Ohio,Cuyahoga,11.155132959557008,6.0,119551.0
39049,Ohio,Franklin,10.71056828282522,4.0,62650.0
39061,Ohio,Hamilton,10.661398676703973,5.0,125897.0
39081,Ohio,Jefferson,10.454733702305536,1.0,34569.0
39085,Ohio,Lake,8.59913,1.0,920.0
39087,Ohio,Lawrence,9.217841139213697,1.0,34465.0
39095,Ohio,Lucas,9.451873310323764,3.0,9822.0
39099,Ohio,Mahoning,10.286957049495632,1.0,34003.0
39103,Ohio,Medina,9.384092863742655,1.0,35066.0
39113,Ohio,Montgomery,10.545834445392247,1.0,34583.0
39135,Ohio,Preble,9.813707708365166,1.0,32719.0
39145,Ohio,Scioto,10.0595639218149,2.0,54857.0
39151,Ohio,Stark,10.787036999071189,2.0,66752.0
39153,Ohio,Summit,9.549834503546938,2.0,33832.0
39155,Ohio,Trumbull,10.403504448267945,1.0,34843.0
40001,Oklahoma,Adair,9.846309852925856,1.0,11518.0
40019,Oklahoma,Carter,7.95725592189679,1.0,30114.0
40027,Oklahoma,Cleveland,9.600539893091524,1.0,28342.0
40031,Oklahoma,Comanche,7.376567946392333,1.0,32029.0
40043,Oklahoma,Dewey,7.553866675532074,1.0,32937.0
40071,Oklahoma,Kay,9.676288390740025,1.0,30972.0
40105,Oklahoma,Nowata,11.07747351465705,1.0,28007.0
40109,Oklahoma,Oklahoma,8.945705746293305,3.0,56317.0
40115,Oklahoma,Ottawa,11.04896449201332,2.0,70868.0
40121,Oklahoma,Pittsburg,8.55327183300468,1.0,32456.0
40135,Oklahoma,Sequoyah,8.368224,1.0,856.0
40143,Oklahoma,Tulsa,9.199534470838971,2.0,63578.0
41013,Oregon,Crook,8.5912729532503,1.0,11722.0
41017,Oregon,Deschutes,6.895807810559006,1.0,2576.0
41025,Oregon,Harney,9.633393548381456,1.0,34321.0
41029,Oregon,Jackson,13.218398332635884,2.0,21029.0
41033,Oregon,Josephine,11.4153376286013,1.0,34432.0
41035,Oregon,Klamath,9.608006584804949,1.0,22481.0
41037,Oregon,Lake,6.727745188243407,1.0,11602.0
41039,Oregon,Lane,8.268596163519081,5.0,79532.0
41051,Oregon,Multnomah,6.420249167130463,1.0,12218.0
41067,Oregon,Washington,5.818880058781303,2.0,23681.0
42001,Pennsylvania,Adams,10.947367414846113,1.0,33369.0
42003,Pennsylvania,Allegheny,10.417733087989722,8.0,195341.0
42005,Pennsylvania,Armstrong,8.920104301732465,1.0,33132.0
42007,Pennsylvania,Beaver,10.502783786062253,2.0,73283.0
42011,Pennsylvania,Berks,10.053399349056876,1.0,34407.0
42013,Pennsylvania,Blair,9.234591471114928,1.0,32612.0
